SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
15,4.0,RbTe6,ICSD,74837,1.0,14.0,90.0,2.0,0.0,0.0,0.955,(1;101),0.0
15,4.0,VP2O7,ICSD,39762,1.0,20.0,130.0,3.0,0.0,0.0,0.285,(1;011),0.0
15,4.0,Re2SbO6,ICSD,51023,1.0,18.0,142.0,3.0,7.6296,0.0,1.0,(0;000),0.0
15,4.0,Sr2InPt2,ICSD,391433,1.0,10.0,106.0,3.0,0.0,0.0,0.376,(0;101),0.0
15,4.0,Sr2InPd2,ICSD,391432,1.0,10.0,138.0,3.0,0.0,0.0,0.527,(0;011),0.0
15,4.0,VH2O3,ICSD,16727,1.0,12.0,66.0,2.0,0.0,0.0,0.336,(1;101),0.0
15,4.0,KFeSe2,ICSD,40780,1.0,8.0,58.0,1.0,0.0,0.0,0.5,(1;101),0.0
15,4.0,LiFe(GeO3)2,ICSD,169479,1.0,20.0,110.0,3.0,0.0,0.0,0.374,(0;011),0.0
15,4.0,LiFe(GeO3)2,ICSD,162950,1.0,20.0,110.0,3.0,0.0,0.0,0.327,(1;101),0.0
15,4.0,Y(CuO2)2,ICSD,83493,1.0,14.0,114.0,3.0,0.0,0.0,0.368,(1;101),0.0
15,4.0,NaCuSO4F,ICSD,262273,1.0,16.0,114.0,3.0,0.0,0.0,0.143,(1;101),0.0
